1          1          1          1             1.540337875104e+00
1          1          1          2            -1.414804180930e+00
1          1          1          4             1.247513238159e+00
1          1          1          6             4.681757745862e+00
1          1          1          9            -6.138081263147e+00
1          1          1         10             1.102895173585e+00
1          1          1         12             1.529882544851e+00
1          1          1         13            -1.478243633328e+00
1          1          1         14            -5.344911546045e-01
1          1          1         15            -1.698483429120e+00
1          1          2          2             3.590677179995e+00
1          2          2          2            -5.369740810668e-01
1          1          2          4            -2.292831089838e+00
1          1          2          6            -6.175191294360e+00
1          1          2          9             3.326140778806e+00
1          1          2         10            -4.758083020882e+00
1          1          2         12            -1.618676906966e+00
1          1          2         13             2.607294683124e-01
1          1          2         14             9.835843042815e-01
1          1          2         15             1.728011775167e+00
1          1          3          3             2.075868363540e-01
1          3          3          3            -1.356523891153e-04
1          1          3          5             8.051165658725e-01
1          1          3          7            -6.819248422310e-01
1          1          3          8            -9.246913348340e-02
1          1          3         11             5.374301061550e-01
1          1          3         16             4.610096374765e-01
1          1          3         17             1.755029999487e-01
1          1          3         18             6.496444645580e-01
1          1          3         19             7.974318717490e-03
1          1          3         20             9.845356488365e-01
1          1          3         21            -1.641775333546e-01
1          1          3         22            -1.165949509467e+00
1          1          3         23             1.377174003348e+00
1          1          3         24             1.090973108533e+00
1          1          3         25             4.250697924125e-01
1          1          3         26             3.954551029759e-01
1          1          3         27             1.126517900576e+00
1          1          3         28             4.002837105884e-01
1          1          3         29            -7.349118221850e-02
1          1          3         30             1.140191407693e-02
1          1          3         31            -1.054872315063e-01
1          1          3         32            -3.990705972704e-02
1          1          3         33             2.026705172235e+00
1          1          4          4             6.468963072712e+00
1          4          4          4             1.651464578648e+00
1          1          4          6             7.361102382740e+00
1          1          4          9            -5.359802318295e+00
1          1          4         10             1.803827860696e+00
1          1          4         12             3.424699470710e+00
1          1          4         13            -1.339945490612e+00
1          1          4         14            -8.035543682650e-01
1          1          4         15            -2.599792173619e+00
1          1          5          5            -1.397398714289e-02
1          5          5          5             1.175262599142e-04
1          1          5          7             9.190045306345e-02
1          1          5          8             2.081617429111e-02
1          1          5         11            -2.700522493187e-02
1          1          5         16            -9.616041542790e-01
1          1          5         17            -1.243084140889e-01
1          1          5         18             9.621405635085e-01
1          1          5         19            -9.622042728360e-03
1          1          5         20             1.013980077481e+00
