1          1              9.304369598045e+01
2          2              1.431807617536e+02
3          3              1.563112000000e+02
4          4              2.114998135386e+02
5          5              2.245597078137e+02
6          6              2.629462674049e+02
7          7              2.807445209217e+02
8          8              2.884497251499e+02
9          9              3.306817137121e+02
10         10             3.445837776055e+02
11         11             3.852221066330e+02
12         12             3.876563610483e+02
13         13             4.054891261371e+02
14         14             4.140298154969e+02
15         15             4.250194353836e+02
16         16             4.274127303869e+02
17         17             5.087293633880e+02
18         18             5.423172692290e+02
19         19             5.663847625075e+02
20         20             5.946771031530e+02
21         21             6.245027335150e+02
22         22             6.489588354710e+02
23         23             6.889665741325e+02
24         24             7.144329047625e+02
25         25             7.398732409935e+02
26         26             7.797781294235e+02
27         27             7.988544267700e+02
28         28             8.174576372910e+02
29         29             1.576101186382e+03
30         30             1.585909696145e+03
31         31             1.590144850304e+03
32         32             1.598630966203e+03
33         33             2.290920281103e+04
