  0.00000   0.33703   0.17209  -0.05424   0.00000 -0.03514   0.00000   0.00000   0.13917   0.00000  0.01070  -0.01134   0.00000   0.01300  -0.00637  0.00000   0.00000   0.00000   0.00000   0.04043  0.00000   0.00000   0.00000   0.00000   0.00000  0.00000   0.00000   0.00000   0.00000   0.00000  0.00000   0.00000   0.00000
 -0.02518   0.00000   0.00000   0.00000  -0.05332  0.00000   0.05294   0.21776   0.00000   0.61759  0.00000   0.00000  -0.12355   0.00000   0.00000  0.12005  -0.00407  -0.02250   0.00361   0.00000 -0.05781  -0.03653  -0.04261  -0.02747   0.00125  0.04954  -0.01173  -0.01586  -0.00295  -0.00015 -0.00012   0.00000  -0.00008
  0.02552   0.00000   0.00000   0.00000   0.31587  0.00000   0.19823   0.04049   0.00000  -0.18803  0.00000   0.00000  -0.18850   0.00000   0.00000  0.19169   0.00926  -0.01886   0.01490   0.00000 -0.06319  -0.08805  -0.13695  -0.02307   0.04259  0.10148  -0.06939  -0.05908  -0.01126   0.00011 -0.00031  -0.00032  -0.00050
  0.00000   0.08776  -0.22319   0.23451   0.00000 -0.02646   0.00000   0.00000  -0.44291   0.00000 -0.04676   0.03040   0.00000  -0.04925   0.05449  0.00000   0.00000   0.00000   0.00000  -0.01173  0.00000   0.00000   0.00000   0.00000   0.00000  0.00000   0.00000   0.00000   0.00000   0.00000  0.00000   0.00000   0.00000
 -0.01694   0.00000   0.00000   0.00000   0.26654  0.00000  -0.03637  -0.06082   0.00000   0.00590  0.00000   0.00000  -0.16481   0.00000   0.00000 -0.07071   0.02733   0.04822  -0.02488   0.00000  0.18125   0.06401   0.09411   0.29394   0.04222 -0.08716  -0.19717  -0.07319   0.02945   0.00026  0.00004  -0.00109  -0.00030
 -0.04644   0.00000   0.00000   0.00000   0.12493  0.00000   0.15804   0.13682   0.00000   0.06305  0.00000   0.00000  -0.01960   0.00000   0.00000  0.07603  -0.00737  -0.00626  -0.00592   0.00000  0.00204   0.12345   0.19293   0.01182  -0.12947 -0.27684   0.21633   0.36200  -0.03431   0.00107  0.00239   0.00352   0.00277
  0.00000  -0.08776  -0.22319   0.23451   0.00000  0.02646   0.00000   0.00000   0.44291   0.00000 -0.04676  -0.03040   0.00000  -0.04925  -0.05449  0.00000   0.00000   0.00000   0.00000  -0.01173  0.00000   0.00000   0.00000   0.00000   0.00000  0.00000   0.00000   0.00000   0.00000   0.00000  0.00000   0.00000   0.00000
 -0.01694   0.00000   0.00000   0.00000   0.26654  0.00000   0.03637  -0.06082   0.00000  -0.00590  0.00000   0.00000   0.16481   0.00000   0.00000 -0.07071  -0.02733   0.04822   0.02488   0.00000  0.18125   0.06401  -0.09411  -0.29394   0.04222  0.08716   0.19717  -0.07319  -0.02945   0.00026 -0.00004  -0.00109   0.00030
  0.04644   0.00000   0.00000   0.00000  -0.12493  0.00000   0.15804  -0.13682   0.00000   0.06305  0.00000   0.00000  -0.01960   0.00000   0.00000 -0.07603  -0.00737   0.00626  -0.00592   0.00000 -0.00204  -0.12345   0.19293   0.01182   0.12947 -0.27684   0.21633  -0.36200  -0.03431  -0.00107  0.00239  -0.00352   0.00277
  0.00000  -0.33703   0.17209  -0.05424   0.00000  0.03514   0.00000   0.00000  -0.13917   0.00000  0.01070   0.01134   0.00000   0.01300   0.00637  0.00000   0.00000   0.00000   0.00000   0.04043  0.00000   0.00000   0.00000   0.00000   0.00000  0.00000   0.00000   0.00000   0.00000   0.00000  0.00000   0.00000   0.00000
